Collection Title,Handle,Description HTML,Sort Order,Published
Pouch Bags (Toiletry Sets),pouch-bags-toiletry-sets,"<p>Handcrafted cotton quilted pouch sets — available in Oval and Triangle Base shapes, sold as a coordinated set of 3 (Small, Medium, Large). Perfect for travel and gifting.</p>",BEST_SELLING,TRUE
Tote Bags,tote-bags,"<p>Artisanal cotton quilted tote bags — available in Square and Rectangular shapes across four sizes (Small to Extra Large). Size and shape identifiers appear first for easy browsing.</p>",BEST_SELLING,TRUE
Mobile Sling Bags,mobile-sling-bags,"<p>Handcrafted cotton quilted mobile sling bags — Urban Minimalist Sling and Structured Artisan Sling styles for effortless everyday carry.</p>",BEST_SELLING,TRUE
Duffle Bags,duffle-bags,"<p>Premium cotton quilted duffle bags — Athletic Utility Duffle for the gym and Voyager Weekender Duffle for travel. Crafted by Jaipur artisans.</p>",BEST_SELLING,TRUE
Sunglasses Covers,sunglasses-covers,"<p>Cotton handcrafted sunglass covers — Soft Cloth Sunglass Pouch, Classic Hard-Case Sunglass Box, and Signature Luxe Hard-Case Box.</p>",BEST_SELLING,TRUE
Multi-Utility Organizers,multi-utility-organizers,"<p>Signature Vanity & Tool Organizers — premium multi-pocket cotton quilted carry-alls designed for every essential, from tools to travel.</p>",BEST_SELLING,TRUE
Laptop Bags & Office Essentials,laptop-bags-office-essentials,"<p>Structured Laptop Briefcases, Padded Laptop Sleeves, Zip Lunch Totes, and Open Basket Lunch Carriers — handcrafted cotton essentials for the modern professional.</p>",BEST_SELLING,TRUE
Wallets & Clutches,wallets-clutches,"<p>Slim Flat Wallets, Foldable Classic Wallets, and Evening Artisan Clutches — handcrafted in premium cotton for everyday elegance.</p>",BEST_SELLING,TRUE
Accessories,accessories,"<p>Coin Pouches, AirPods Covers, Round Coin Pouches, Flat Pouches, and Soft Animal Keychains — handcrafted cotton accessories for every occasion.</p>",BEST_SELLING,TRUE
Kids' Soft Toys,kids-soft-toys,"<p>Handcrafted 100% premium cotton soft toys by Jaipur artisans — Elephant, Giraffe, and Dinosaur soft toys made with love for little ones.</p>",BEST_SELLING,TRUE
